Date,Open,High,Low,Close,Volume
2015-01-02,55.277637597409544,55.73381256343301,54.20428654638736,54.4189567565918,899670
2015-01-05,54.20429690789486,55.116647014343506,52.65330295787484,52.73380661010742,1654768
2015-01-06,52.61573398527503,52.96457698624772,52.06832762049244,52.293731689453125,2075002
2015-01-07,52.701598739372834,53.01286718072044,52.164920099189565,52.52985763549805,1131009
2015-01-08,53.29731626991303,54.92881395047895,53.093379829181515,54.7409782409668,1502778
2015-01-09,54.47263810919733,54.68730836772241,53.18461655804685,53.511985778808594,1310649
2015-01-12,53.828624588800565,54.84830672612079,53.69445183736806,54.44580078125,958475
2015-01-13,54.284806789582646,55.304489061308274,54.12379946664109,54.982486724853516,1032309
2015-01-14,54.07012939058486,55.062976977690546,53.882287538565734,54.257965087890625,1133849
2015-01-15,54.901980921859106,55.54599172436231,52.95921469323874,55.43865966796875,1845102
2015-01-16,55.06297476040082,55.97532481461579,54.901973619866745,55.89482116699219,1610504
2015-01-19,55.86799986069463,56.592508162375815,55.68015799240732,56.297340393066406,888918
2015-01-20,56.13632730723597,56.88767623901367,56.10949275738177,56.88767623901367,1247943
2015-01-21,56.67300990847313,57.021846771240234,56.0826682350543,57.021846771240234,1760727
2015-01-22,56.88767767971238,58.17569917705377,56.404668079531,58.01469802856445,1895657
2015-01-23,58.28303126651451,59.034373983806766,58.068361039472045,58.95387649536133,2012956
2015-01-26,58.71237336234122,60.027229309082024,58.60503516846215,60.02722930908203,1412907
2015-01-27,60.0808966478494,60.45656800600679,59.11487755005865,59.57105255126953,1352614
2015-01-28,60.00038539558344,60.08088902842751,58.953868942170566,59.32954025268555,1569556
2015-01-29,59.08805029316047,60.241905212402344,58.92704914190058,60.241905212402344,1476545
2015-01-30,60.37606786315135,60.483406060112074,59.65155965251895,60.10773468017578,1583570
2015-02-02,60.08090196825903,60.69807815551758,59.8125626223643,60.69807815551758,1103978
2015-02-03,60.9127484012907,61.10058409700301,60.18823401378893,60.69807815551758,1396538
2015-02-04,60.53708065997106,61.12742233276367,60.29557584957552,61.12742233276367,1070904
2015-02-05,60.64440319150526,61.15424728393555,60.48340206142144,61.15424728393555,845210
2015-02-06,61.07374206565163,61.18108025274634,60.08089460858831,60.21506118774414,1257541
2015-02-09,59.83939925689585,60.40290636366224,59.41005875039379,60.241905212402344,1346286
2015-02-10,60.21507402891366,61.18109329992436,59.839402603393445,60.96642303466797,1131194
2015-02-11,60.64439949645052,61.07373992032287,60.48339837617647,60.91273880004883,770789
2015-02-12,60.88590792474541,62.54960678358172,60.88590792474541,62.1470947265625,1327154
2015-02-13,62.41543578030337,62.603271462950495,62.012929866814844,62.22760009765625,1144784
2015-02-16,62.09343917775843,62.388606925405455,61.34209022389241,61.69093322753906,869766
2015-02-17,60.644410998912434,61.47625745860291,60.10773844463715,61.2347526550293,1379267
2015-02-18,61.717763595259825,62.12027571305231,61.395761286682216,61.664100646972656,1079067
2015-02-19,61.181091130374945,62.17393876396057,61.181091130374945,61.98610305786133,1198061
2015-02-20,61.95927229514686,62.57645470898857,61.61043541316158,62.17394256591797,2295287
2015-02-23,62.549610499937806,62.683777090440515,61.610425902279616,62.200767517089844,1252821
2015-02-24,61.87876487988219,62.76428037432925,61.851930330994335,62.54961013793945,1311533
2015-02-25,62.54961603863593,62.79111469198262,62.38860873011997,62.65694808959961,908729
2015-02-26,62.76427096440732,63.086273193359375,62.44226258074314,63.086273193359375,1000156
2015-02-27,62.817948830493386,63.38146209716797,62.683782228992264,63.38146209716797,1171108
2015-03-02,63.32778535973975,63.51562104108085,62.952113997057545,63.19361877441406,989587
2015-03-03,62.952116312863964,63.649796122591205,62.52277583837229,62.63010787963867,845628
2015-03-04,62.49595017973585,63.2741275924342,62.388611968487005,63.24729919433594,1044717
2015-03-05,63.13994399033167,63.91812734831269,62.95210832591206,63.78395462036133,1104659
2015-03-06,63.0594515485575,63.837635044690074,63.03262315291665,63.64979934692383,1082753
